Log of the total land value in the grid cell	--	--
Percent of development type group commercial within walking distance	--	--
Percent of development type group industrial within walking distance	--	--
Percent of development type group residential within walking distance	--	--
A measure of proximity to development	--	--

SUB_MODEL_ID = 23
Variable	-1	23
Constant	0.121 (0)	5.506 (0)
Indicator for cells near an arterial	--	--
Indicator for cells near a highway	--	--
Log of accessibility to population for one-vehicle households in the cell's TAZ	--	-1.604 (0.320)!!
Log of the total land value in the grid cell	--	0.652 (0.111)!!
Percent of development type group commercial within walking distance	--	--
Percent of development type group industrial within walking distance	--	-0.031 (0.028)
Percent of development type group residential within walking distance	--	0.030 (0.005)!!
A measure of proximity to development	--	--

SUB_MODEL_ID = 24
Variable	-1	1	2	3	4	5	6	7	9	17	20	21	22
Constant	0.436 (0)	-11.933 (0)	-19.182 (0)	-22.624 (0)	-22.624 (0)	-22.624 (0)	-9.141 (0)	-30.953 (0)	-15.900 (0)	-18.625 (0)	-19.219 (0)	-18.395 (0)	-7.524 (0)
Indicator for cells near an arterial	--	0.302 (0.066)!!	0.302 (0.066)!!	--	--	--	--	1.255 (0.274)!!	0.823 (0.144)!!	0.806 (0.241)!!	1.196 (0.270)!!	1.610 (0.305)!!	--
Indicator for cells near a highway	--	-0.579 (0.127)!!	-0.970 (0.170)!!	-1.220 (0.236)!!	-0.669 (0.299)!!	-0.802 (0.427)!	--	--	0.860 (0.162)!!	1.723 (0.226)!!	--	--	--
Log of accessibility to population for one-vehicle households in the cell's TAZ	--	-0.443 (0.087)!!	-0.443 (0.087)!!	-0.596 (0.136)!!	-0.596 (0.136)!!	-0.596 (0.136)!!	--	0.330 (0.156)!!	0.330 (0.156)!!	--	--	--	--
Log of the total land value in the grid cell	--	0.941 (0.039)!!	1.579 (0.052)!!	1.999 (0.069)!!	1.914 (0.069)!!	1.863 (0.069)!!	--	1.541 (0.193)!!	0.194 (0.051)!!	0.746 (0.103)!!	0.885 (0.099)!!	0.885 (0.099)!!	--
Percent of development type group commercial within walking distance	--	-0.058 (0.007)!!	-0.058 (0.007)!!	-0.058 (0.007)!!	-0.058 (0.007)!!	-0.058 (0.007)!!	--	0.034 (0.014)!!	0.060 (0.008)!!	0.048 (0.012)!!	0.031 (0.014)!!	0.045 (0.015)!!	--
Percent of development type group industrial within walking distance	--	-0.080 (0.011)!!	-0.055 (0.011)!!	-0.036 (0.010)!!	-0.036 (0.010)!!	-0.036 (0.010)!!	--	-0.036 (0.010)!!	0.030 (0.008)!!	--	0.056 (0.008)!!	0.024 (0.012)!!	--
Percent of development type group residential within walking distance	--	0.025 (0.001)!!	0.025 (0.001)!!	0.025 (0.001)!!	0.025 (0.001)!!	0.025 (0.001)!!	--	0.008 (0.003)!!	0.008 (0.003)!!	--	-0.055 (0.010)!!	-0.107 (0.019)!!	--
A measure of proximity to development	--	3.396 (0.250)!!	3.396 (0.250)!!	3.396 (0.250)!!	3.396 (0.250)!!	3.396 (0.250)!!	--	3.396 (0.250)!!	3.396 (0.250)!!	3.396 (0.250)!!	2.314 (0.686)!!	2.314 (0.686)!!	--
