Variable	1	2	3	4	5	6	7	8	9	10	11	12	13	14
Indicator for employment sector 7	5.055e-04 (1.112e-04)!!	-0.002 (1.529e-04)!!	--	-3.377e-04 (8.455e-05)!!	-7.497e-04 (1.143e-04)!!	6.221e-04 (8.493e-05)!!	0.002 (8.193e-05)!!	--	--	--	-4.252e-04 (7.410e-05)!!	-3.667e-04 (1.059e-04)!!	-4.147e-04 (8.983e-05)!!	-0.001 (9.933e-05)!!
Indicator for employment sector 8	-0.001 (2.645e-04)!!	--	-0.001 (2.360e-04)!!	-0.003 (2.169e-04)!!	4.828e-04 (1.753e-04)!!	--	--	0.005 (1.366e-04)!!	--	-0.001 (1.891e-04)!!	4.485e-04 (1.438e-04)!!	8.971e-04 (1.870e-04)!!	--	--
Indicator for employment sector 9	-8.270e-04 (1.068e-04)!!	--	-2.724e-04 (8.982e-05)!!	--	-5.213e-04 (1.136e-04)!!	--	4.729e-04 (8.258e-05)!!	3.029e-04 (1.081e-04)!!	0.002 (5.648e-05)!!	--	-4.872e-04 (6.972e-05)!!	--	--	--
Log of the average land value per acre within walking distance	0.047 (0.021)!!	-0.189 (0.016)!!	-0.172 (0.015)!!	-0.108 (0.021)!!	-0.032 (0.018)!	-0.133 (0.020)!!	--	--	--	0.652 (0.055)!!	-0.178 (0.016)!!	--	-0.039 (0.021)!	-0.081 (0.021)!!
Log of commercial sq.ft. in the grid cell	--	--	--	--	-0.316 (0.017)!!	--	--	-0.498 (0.025)!!	--	-0.313 (0.022)!!	--	--	--	-0.251 (0.021)!!
Log of the distance to nearest highway	0.057 (0.008)!!	--	--	-0.032 (0.008)!!	-0.017 (0.008)!!	-0.012 (0.007)!	--	-0.047 (0.007)!!	-0.046 (0.007)!!	-0.096 (0.007)!!	-0.031 (0.007)!!	0.040 (0.008)!!	-0.019 (0.007)!!	0.022 (0.008)!!
Log of improvement value per residential unit within walking distance	0.092 (0.005)!!	0.030 (0.007)!!	0.030 (0.006)!!	0.017 (0.004)!!	--	-0.025 (0.008)!!	--	0.054 (0.008)!!	-0.048 (0.010)!!	0.036 (0.008)!!	--	-0.041 (0.013)!!	0.063 (0.006)!!	0.066 (0.008)!!
Log of the number of residential units in the grid cell	--	0.123 (0.021)!!	--	-0.095 (0.024)!!	-0.082 (0.024)!!	--	0.131 (0.013)!!	0.117 (0.023)!!	0.381 (0.019)!!	0.145 (0.022)!!	0.376 (0.018)!!	0.216 (0.016)!!	0.256 (0.012)!!	--
Log of the number of residential units within walking distance	--	0.055 (0.014)!!	-0.036 (0.011)!!	--	-0.056 (0.009)!!	0.152 (0.014)!!	0.235 (0.013)!!	0.049 (0.015)!!	0.087 (0.018)!!	--	0.098 (0.011)!!	0.318 (0.020)!!	--	0.108 (0.015)!!
Log of total value of the cell	-0.375 (0.021)!!	--	--	--	--	-0.126 (0.025)!!	-0.255 (0.022)!!	0.185 (0.038)!!	--	0.292 (0.040)!!	0.138 (0.022)!!	--	-0.181 (0.021)!!	0.287 (0.031)!!
Log of work accessibility to employment for one vehicle households in the cell's TAZ	-4.355 (0.354)!!	-2.469 (0.182)!!	0.776 (0.437)!	4.116 (0.238)!!	2.733 (0.485)!!	3.006 (0.461)!!	--	1.978 (0.458)!!	5.680 (0.536)!!	-0.775 (0.220)!!	-0.765 (0.198)!!	0.123 (0.496)	--	-2.408 (0.446)!!
Log of work accessibility to population for one vehicle households in the cell's TAZ	3.924 (0.267)!!	2.634 (0.212)!!	-1.459 (0.317)!!	-3.896 (0.281)!!	-2.279 (0.364)!!	-0.928 (0.318)!!	--	-1.597 (0.327)!!	-3.069 (0.360)!!	1.177 (0.255)!!	0.645 (0.236)!!	0.260 (0.356)	--	1.179 (0.332)!!
AM peak hour travel time by single-occupancy vehicle from the cell's TAZ to the CBD's TAZ (or a representative TAZ for the CBD)	-0.024 (0.005)!!	--	0.025 (0.008)!!	--	0.011 (0.006)	0.066 (0.006)!!	0.006 (0.001)!!	0.022 (0.006)!!	0.158 (0.009)!!	--	--	-0.051 (0.008)!!	-0.010 (0.001)!!	-0.046 (0.006)!!
AM peak hour travel time by single-occupancy vehicle from the cell's TAZ to the airport TAZ	--	--	-0.031 (0.007)!!	--	--	--	--	--	-0.076 (0.009)!!	--	--	0.064 (0.009)!!	--	--
