count	restype	hhsize	income	age_range
3	1	7	1	NULL
1	1	7	1	31-40
1	1	7	1	>65
1	1	7	2	NULL
6	1	7	2	31-40
4	1	7	2	41-50
1	1	7	2	51-65
2	1	7	2	<=30
1	1	8	1	<=30
1	1	8	2	NULL
3	1	8	2	31-40
4	1	8	2	41-50
1	1	8	2	<=30
1	1	9	1	NULL
1	1	9	2	NULL
2	1	9	2	31-40
1	1	10	2	31-40
1	1	10	2	41-50
2	2	1	NULL	NULL
3	2	1	NULL	31-40
1	2	1	NULL	41-50
5	2	1	NULL	51-65
1	2	1	NULL	>65
1	2	1	1	NULL
8	2	1	1	31-40
18	2	1	1	41-50
24	2	1	1	51-65
11	2	1	1	<=30
37	2	1	1	>65
1	2	1	2	NULL
32	2	1	2	31-40
31	2	1	2	41-50
33	2	1	2	51-65
8	2	1	2	<=30
24	2	1	2	>65
2	2	2	NULL	31-40
1	2	2	NULL	41-50
4	2	2	NULL	51-65
6	2	2	NULL	>65
4	2	2	1	31-40
10	2	2	1	41-50
4	2	2	1	51-65
9	2	2	1	<=30
14	2	2	1	>65
16	2	2	2	31-40
22	2	2	2	41-50
23	2	2	2	51-65
13	2	2	2	<=30
29	2	2	2	>65
1	2	3	NULL	31-40
1	2	3	NULL	51-65
2	2	3	1	31-40
4	2	3	1	41-50
5	2	3	1	<=30
10	2	3	2	31-40
7	2	3	2	41-50
6	2	3	2	51-65
4	2	3	2	<=30
1	2	4	NULL	31-40
1	2	4	1	NULL
1	2	4	1	31-40
1	2	4	1	41-50
2	2	4	1	<=30
5	2	4	2	31-40
1	2	4	2	41-50
4	2	4	2	51-65
3	2	5	1	31-40
2	2	5	2	31-40
1	2	6	1	31-40
2	4	1	NULL	NULL
5	4	1	NULL	31-40
2	4	1	NULL	41-50
5	4	1	NULL	51-65
5	4	1	NULL	<=30
5	4	1	NULL	>65
3	4	1	1	NULL
43	4	1	1	31-40
43	4	1	1	41-50
48	4	1	1	51-65
61	4	1	1	<=30
68	4	1	1	>65
2	4	1	2	NULL
34	4	1	2	31-40
31	4	1	2	41-50
21	4	1	2	51-65
28	4	1	2	<=30
14	4	1	2	>65
1	4	2	NULL	NULL
1	4	2	NULL	31-40
2	4	2	NULL	41-50
1	4	2	NULL	51-65
6	4	2	NULL	<=30
1	4	2	NULL	>65
3	4	2	1	NULL
12	4	2	1	31-40
14	4	2	1	41-50
13	4	2	1	51-65
30	4	2	1	<=30
9	4	2	1	>65
19	4	2	2	31-40
15	4	2	2	41-50
8	4	2	2	51-65
55	4	2	2	<=30
5	4	2	2	>65
3	4	3	NULL	<=30
1	4	3	1	NULL
9	4	3	1	31-40
4	4	3	1	41-50
3	4	3	1	51-65
22	4	3	1	<=30
11	4	3	2	31-40
6	4	3	2	41-50
1	4	3	2	51-65
14	4	3	2	<=30
1	4	4	NULL	<=30
1	4	4	NULL	>65
8	4	4	1	31-40
1	4	4	1	41-50
5	4	4	1	<=30
5	4	4	2	31-40
1	4	4	2	41-50
1	4	4	2	51-65
3	4	4	2	<=30
1	4	5	1	NULL
1	4	5	1	31-40
1	4	5	1	<=30
3	4	5	2	31-40
2	4	5	2	41-50
1	4	5	2	51-65
2	4	6	2	31-40
1	4	6	2	<=30
1	4	7	1	<=30
2	8	1	NULL	NULL
2	8	1	NULL	51-65
1	8	1	NULL	>65
2	8	1	1	NULL
4	8	1	1	31-40
6	8	1	1	41-50
18	8	1	1	51-65
1	8	1	1	<=30
48	8	1	1	>65
3	8	1	2	31-40
6	8	1	2	41-50
6	8	1	2	51-65
1	8	1	2	<=30
7	8	1	2	>65
1	8	2	NULL	41-50
2	8	2	NULL	51-65
1	8	2	NULL	>65
4	8	2	1	31-40
6	8	2	1	41-50
10	8	2	1	51-65
2	8	2	1	<=30
10	8	2	1	>65
8	8	2	2	31-40
9	8	2	2	41-50
11	8	2	2	51-65
3	8	2	2	<=30
12	8	2	2	>65
1	8	3	NULL	NULL
1	8	3	NULL	31-40
1	8	3	NULL	41-50
1	8	3	NULL	51-65
2	8	3	NULL	<=30
4	8	3	1	31-40
2	8	3	1	41-50
1	8	3	1	51-65
3	8	3	1	<=30
2	8	3	1	>65
1	8	3	2	NULL
7	8	3	2	31-40
4	8	3	2	41-50
3	8	3	2	51-65
1	8	3	2	<=30
1	8	3	2	>65
1	8	4	NULL	<=30
3	8	4	1	31-40
1	8	4	1	41-50
1	8	4	1	51-65
5	8	4	2	31-40
4	8	4	2	41-50
1	8	4	2	<=30
1	8	5	1	31-40
1	8	5	1	41-50
2	8	5	1	<=30
4	8	5	2	31-40
3	8	5	2	41-50
1	8	6	2	41-50
2	8	7	2	31-40
